pca_dim,nb_kernels,kernel_size,stride,kernel_modes,variant,mean_accuracy,std_accuracy,param_count,run_dir,efficiency
8,1,4,2,16,qconv_classical,0.6485421591804571,0.09952952646669914,13,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160351,0.0498878583984967
8,2,1,1,4,qconv_quantum,0.5371158392434988,0.0008189365520420236,114,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160711,0.0047115424495043755
8,2,1,1,4,qconv_classical,0.6208037825059102,0.10955808161140584,38,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160711,0.016336941644892373
8,2,1,1,8,qconv_quantum,0.7713159968479117,0.13352293858476055,290,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160718,0.0026597103339583163
8,2,1,1,8,qconv_classical,0.6208037825059102,0.10955808161140584,38,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160718,0.016336941644892373
8,2,1,1,10,qconv_quantum,0.8732860520094563,0.1408356596558532,426,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160743,0.0020499672582381602
8,2,1,1,10,qconv_classical,0.6208037825059102,0.10955808161140584,38,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160743,0.016336941644892373
8,2,1,1,12,qconv_quantum,0.8408195429472025,0.2617973919406269,594,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160845,0.0014155211160727316
8,2,1,1,12,qconv_classical,0.6208037825059102,0.10955808161140584,38,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160845,0.016336941644892373
8,2,1,1,16,qconv_quantum,0.9221434200157604,0.06341751691361154,1026,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-161100,0.0008987752631732557
8,2,1,1,16,qconv_classical,0.6208037825059102,0.10955808161140584,38,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-161100,0.016336941644892373
8,2,2,1,4,qconv_quantum,0.6392434988179669,0.13201484134870348,106,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-162935,0.006030599045452519
8,2,2,1,4,qconv_classical,0.6138691883372734,0.10522653109686012,36,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-162935,0.017051921898257594
8,2,2,1,8,qconv_quantum,0.890622537431048,0.0581720428724571,282,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-150505,0.0031582359483370496
8,2,2,1,8,qconv_classical,0.6138691883372734,0.10522653109686012,36,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-150505,0.017051921898257594
8,2,2,1,10,qconv_quantum,0.7074862096138692,0.2233947905150215,418,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-162942,0.0016925507407030364
8,2,2,1,10,qconv_classical,0.6138691883372734,0.10522653109686012,36,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-162942,0.017051921898257594
